word,class,manual,dupe
Hun,TRUE,f,
Jap,TRUE,1,
Jihadi,TRUE,1,
Yardie,TRUE,1,
abhor,TRUE,f,
abominable,TRUE,1,
abomination,TRUE,1,
abusive,TRUE,1,
affront,TRUE,f,
agitator,TRUE,1,
aloof,TRUE,f,
ambush,TRUE,f,
anarchist,TRUE,f,
annihilate,TRUE,f,
appalled,TRUE,f,
arrogance,TRUE,f,
arrogant,TRUE,1,
arse,TRUE,1,
ashamed,TRUE,f,
asinine,TRUE,f,
ass,TRUE,1,
assassinate,TRUE,f,
assault,TRUE,f,
asshole,TRUE,1,
atrocity,TRUE,1,
attack,TRUE,f,
avarice,TRUE,f,
avaricious,TRUE,NA,
awful,TRUE,1,
awfulness,TRUE,f,
awkward,TRUE,f,
backbiting,TRUE,1,
backward,TRUE,f,
bampot,TRUE,f,
barbaric,TRUE,1,
barbarous,TRUE,1,
bastard,TRUE,1,
beaner,TRUE,1,
beast,TRUE,1,
beastly,TRUE,1,
belittle,TRUE,f,
bestial,TRUE,f,
betrayer,TRUE,1,
bint,TRUE,NA,
bitch,TRUE,1,
bitter,TRUE,f,
blab,TRUE,f,
blabber,TRUE,f,
blaspheme,TRUE,f,
blasphemy,TRUE,f,
blather,TRUE,f,
blind,TRUE,f,
bloodthirsty,TRUE,1,
bogan,TRUE,NA,
bogus,TRUE,1,
bollocks,TRUE,1,
bombardment,TRUE,f,
boner,TRUE,f,
botch,TRUE,f,
braggart,TRUE,1,
bravado,TRUE,f,
brutality,TRUE,f,
brute,TRUE,1,
buckra,TRUE,NA,
bugger,TRUE,f,
bullshit,TRUE,1,
bully,TRUE,1,
bungler,TRUE,NA,
burdensome,TRUE,1,
burrhead,TRUE,NA,
butchery,TRUE,f,
cancer,TRUE,1,
cancerous,TRUE,1,
cannibalize,TRUE,f,
capricious,TRUE,NA,
capriciousness,TRUE,NA,
careless,TRUE,1,
carelessness,TRUE,f,
carnage,TRUE,f,
celesbian,TRUE,NA,
charva,TRUE,NA,
charver,TRUE,NA,
chav,TRUE,NA,
cheat,TRUE,f,
cheat,TRUE,f,dupe
chonky,TRUE,1,
chug,TRUE,f,
cliche,TRUE,f,
clumsy,TRUE,1,
cock,TRUE,1,
cocky,TRUE,f,
cold,TRUE,f,
complacent,TRUE,f,
conceited,TRUE,1,
contempt,TRUE,f,
coolie,TRUE,f,
coon,TRUE,1,
cooter,TRUE,NA,
corrosive,TRUE,1,
cracker,TRUE,1,
crap,TRUE,1,
crass,TRUE,f,
craziness,TRUE,f,
cringe,TRUE,1,
cripple,TRUE,1,
cripple,TRUE,1,dupe
crude,TRUE,f,
cruel,TRUE,1,
cuck,TRUE,1,
cunt,TRUE,1,
curse,TRUE,f,
cursed,TRUE,f,
dago,TRUE,NA,
damn,TRUE,f,
darkey,TRUE,NA,
darkie,TRUE,NA,
dawdle,TRUE,f,
debauchery,TRUE,f,
deceitful,TRUE,1,
delinquent,TRUE,1,
deluded,TRUE,1,
demean,TRUE,f,
demonize,TRUE,f,
denigrate,TRUE,1,
despotic,TRUE,NA,
despotism,TRUE,NA,
destroy,TRUE,f,
destructive,TRUE,f,
detest,TRUE,f,
detestable,TRUE,1,
devil,TRUE,1,
dhimmi,TRUE,NA,
diabolic,TRUE,f,
diatribe,TRUE,f,
dick,TRUE,1,
dictatorial,TRUE,1,
dinge,TRUE,1,
dink,TRUE,1,
disbeliever,TRUE,f,
discouraging,TRUE,1,
disdainful,TRUE,1,
disgraceful,TRUE,1,
disgust,TRUE,f,
disgusted,TRUE,f,
dishonest,TRUE,1,
dishonesty,TRUE,f,
dishonor,TRUE,f,
disillusion,TRUE,f,
disintegrate,TRUE,f,
disloyalty,TRUE,f,
dismal,TRUE,1,
disrespect,TRUE,f,
disrespectful,TRUE,1,
distasteful,TRUE,1,
div,TRUE,NA,
douchbag,TRUE,1,
dragon,TRUE,f,
drain,TRUE,f,
dubious,TRUE,f,
dud,TRUE,1,
dullard,TRUE,1,
dumb,TRUE,1,
dumbass,TRUE,1,
dummy,TRUE,1,
dunce,TRUE,1,
dupe,TRUE,f,
dyke,TRUE,1,
earsplitting,TRUE,f,
effrontery,TRUE,NA,
egomania,TRUE,f,
egotism,TRUE,f,
egotistical,TRUE,1,
embarrassing,TRUE,1,
embarrassment,TRUE,1,
enslave,TRUE,f,
envious,TRUE,f,
envy,TRUE,f,
envy,TRUE,f,dupe
evil,TRUE,1,
evildoer,TRUE,1,
eviscerate,TRUE,f,
exploitation,TRUE,f,
exterminate,TRUE,f,
eyetie,TRUE,NA,
fabricate,TRUE,f,
fag,TRUE,1,
faggot,TRUE,1,
fail,TRUE,1,
fanny,TRUE,f,
fart,TRUE,f,
fart,TRUE,f,dupe
fatalistic,TRUE,NA,
feeble,TRUE,f,
felon,TRUE,f,
felonious,TRUE,1,
fetid,TRUE,1,
fibber,TRUE,1,
fiend,TRUE,1,
filthy,TRUE,1,
finocchio,TRUE,NA,
flaky,TRUE,1,
flamer,TRUE,1,
flid,TRUE,NA,
foolishness,TRUE,1,
foul,TRUE,1,
foulness,TRUE,1,
fraudulent,TRUE,1,
freakish,TRUE,1,
frigid,TRUE,f,
frocio,TRUE,NA,
fuck,TRUE,1,
fuck,TRUE,1,dupe
gauche,TRUE,f,
geezer,TRUE,1,
genocide,TRUE,1,
gibber,TRUE,NA,
ginger,TRUE,f,
ginzo,TRUE,NA,
gippo,TRUE,NA,
gobber,TRUE,NA,
goof,TRUE,1,
gook,TRUE,1,
gossip,TRUE,f,
gossip,TRUE,f,dupe
graceless,TRUE,1,
greaseball,TRUE,1,
greed,TRUE,f,
grimace,TRUE,f,
gringo,TRUE,1,
groid,TRUE,NA,
grotesque,TRUE,1,
grouch,TRUE,f,
grouchy,TRUE,1,
gruesome,TRUE,1,
gubba,TRUE,NA,
gurrier,TRUE,NA,
gyp,TRUE,NA,
gyppo,TRUE,NA,
hairyback,TRUE,NA,
halfhearted,TRUE,f,
halfrican,TRUE,1,
haphazard,TRUE,1,
harridan,TRUE,NA,
hate,TRUE,f,
hateful,TRUE,1,
hater,TRUE,1,
hayseed,TRUE,NA,
heartless,TRUE,1,
heathen,TRUE,1,
heavy-handed,TRUE,NA,
heckle,TRUE,f,
heeb,TRUE,NA,
heretical,TRUE,1,
hick,TRUE,1,
hillbilly,TRUE,1,
hoax,TRUE,f,
hoe,TRUE,1,
honky,TRUE,f,
hopeless,TRUE,1,
horrendous,TRUE,1,
horrid,TRUE,1,
huckster,TRUE,NA,
humiliate,TRUE,f,
humping,TRUE,f,
hurt,TRUE,f,
hustler,TRUE,f,
hypocrite,TRUE,1,
idiocy,TRUE,1,
idiot,TRUE,1,
ignorant,TRUE,1,
ikey,TRUE,NA,
imbecile,TRUE,1,
immoral,TRUE,1,
immorality,TRUE,1,
imperious,TRUE,NA,
impertinent,TRUE,f,
impiety,TRUE,NA,
incompetence,TRUE,1,
inconsiderate,TRUE,1,
incorrigible,TRUE,NA,
ineptitude,TRUE,1,
infidel,TRUE,1,
infiltrator,TRUE,,
ingrate,TRUE,,
inhospitality,TRUE,,
inhumanity,TRUE,,
injun,TRUE,,
insane,TRUE,,
insanity,TRUE,,
insincerity,TRUE,,
insubordinate,TRUE,,
insufferable,TRUE,1,
insult,TRUE,,
insulting,TRUE,,
intimidate,TRUE,,
intimidation,TRUE,,
intrude,TRUE,,
invective,TRUE,,
invidious,TRUE,,
irritant,TRUE,,
ivory,TRUE,,
jagoff,TRUE,,
jealous,TRUE,,
jeer,TRUE,,
jerk,TRUE,1,
jigaboo,TRUE,,
kick,TRUE,,
kike,TRUE,,
kill,TRUE,,
killer,TRUE,,
kook,TRUE,,
kooky,TRUE,,
kraut,TRUE,,
kyke,TRUE,,
lackadaisical,TRUE,,
latrino,TRUE,,
lecher,TRUE,,
lechery,TRUE,,
leer,TRUE,,
lesbo,TRUE,,
lewd,TRUE,,
lewdness,TRUE,,
